date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:35	44937/44937	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:45:31%20GMT	http://www.w3schools.com/sql/sql_wildcards.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_wildcards.html	(from http://www.w3schools.com/sql/)
10:04:36	41368/41368	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:59:45%20GMT	http://www.w3schools.com/sql/sql_in.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_in.html	(from http://www.w3schools.com/sql/)
10:04:36	45048/45048	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:23:18%20GMT	http://www.w3schools.com/sql/sql_between.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_between.html	(from http://www.w3schools.com/sql/)
10:04:37	44322/44322	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:54:09%20GMT	http://www.w3schools.com/sql/sql_alias.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_alias.html	(from http://www.w3schools.com/sql/)
10:04:37	42701/42701	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2005:39:15%20GMT	http://www.w3schools.com/sql/sql_join.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_join.html	(from http://www.w3schools.com/sql/)
10:04:38	42479/42479	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:52:48%20GMT	http://www.w3schools.com/sql/sql_join_inner.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_join_inner.html	(from http://www.w3schools.com/sql/)
10:04:38	42518/42518	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:08:48%20GMT	http://www.w3schools.com/sql/sql_join_left.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_join_left.html	(from http://www.w3schools.com/sql/)
10:04:39	42332/42332	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2007:22:09%20GMT	http://www.w3schools.com/sql/sql_join_right.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_join_right.html	(from http://www.w3schools.com/sql/)
10:04:39	42812/42812	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2004:15:31%20GMT	http://www.w3schools.com/sql/sql_join_full.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_join_full.html	(from http://www.w3schools.com/sql/)
10:04:40	44306/44306	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2006:17:56%20GMT	http://www.w3schools.com/sql/sql_union.asp	C:/Users/dparrado/Desktop/Aprobar/Aprobar/www.w3schools.com/sql/sql_union.html	(from http://www.w3schools.com/sql/)
